teks,target_bank,sentimen
"Jujur, pas lagi butuh dana darurat, CS Bank BCA sering putus sambungan di tengah pembicaraan sangat. Mending pindah ke Bank BNI aja kayaknya.",Bank BCA,negatif
"Sejauh ini, Bank BNI overall bagus, pemegang kartu debit Bank BNI sering dapat cashback di supermarket dan aplikasi BNI Mobile Banking-nya sangat intuitif dan mudah digunakan, bahkan buat pemula, beda cerita kalau biaya tarik tunai di ATM bank lain dari Bank BNI selangit.",Bank BNI,campuran
"Sebagai yang pensiun dari bank lama, integrasi dengan berbagai platform digital di Bank BRI seamless. Bank BRI cocok banget buat kebutuhan saya.",Bank BRI,positif
"saya punya rekening di Bank BNI dan juga di Bank BRI, sambil tanya-tanya produk.",Bank BNI,netral
Ada yang pernah pakai Bank BCA dan Bank BRI? Share pengalaman dong,Bank BCA,netral
"Jujur, pas system maintenance, ATM Bank BCA sering offline atau rusak, pas butuh malah gak bisa dipakai banget. Mending pindah ke Bank BNI aja kayaknya.",Bank BNI,positif
"Dari pengalaman, Bank BNI overall bagus, CS Bank BNI via WhatsApp responsif 24/7, sangat membantu dan buka rekening Bank BNI sekarang bisa full online, gak sampai 10 menit jadi, cuma petugas security Bank BNI kadang kurang ramah ke nasabah.",Bank BNI,campuran
"Kesel banget sama Bank BRI, sejak kemarin notifikasi BRImo spam banget, banyak yang gak penting.",Bank BRI,negatif
"Menurutku, Bank BRI overall bagus, CS Bank BRI sangat responsif dan membantu, masalah langsung kelar dan inovasi fintech Bank BRI selalu di depan dibanding kompetitor, namun kasus fraud yang lambat ditangani tim Bank BRI.",Bank BRI,campuran
"Kesel total sama Bank Mandiri, bulan ini petugas security Bank Mandiri kadang kurang ramah ke nasabah.",Bank Mandiri,negatif
Gak ada setoran awal minimum yang besar untuk buka tabungan di bank bca. Gaskeun deh ke Bank BCA!,Bank BCA,positif
"Minta saran dong, antara Bank Mandiri dan Bank BCA mana yang lebih worth it?",Bank BCA,netral
"Kalau menurut saya, Bank BCA overall bagus, update myBCA selalu membawa fitur baru yang berguna dan live chat di website Bank BCA selalu ada yang standby, akan tetapi nomor antrian di Bank BCA sering error atau loncat-loncat.",Bank BCA,campuran
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",Bank BNI,netral
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,Bank BRI,netral
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",Bank BNI,netral
"Dari tadi pagi, saat gajian, bisa bayar tagihan listrik dan PDAM di ATM Bank BCA. Bank BCA masih di bawah Bank Mandiri sih.",Bank Mandiri,negatif
"Api bank bni untuk developer sangat well-documented, padahal CS Bank BRI sering putus sambungan di tengah pembicaraan.",Bank BRI,negatif
"Sejak pakai, ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis, namun penalty kalau saldo minimum gak terpenuhi di Bank BRI gede banget bener-bener.",Bank BCA,positif
"Dari pengalaman, pas system maintenance, AC di kantor cabang Bank Mandiri kurang dingin, gerah nunggu banget. Mending pindah ke Bank BRI aja kayaknya.",Bank BRI,positif
"Kalau menurut saya, Bank BNI overall bagus, BNI Mobile Banking sangat stabil dan jarang error, bisa diandalkan dan layar ATM Bank BNI jernih dan touchscreen-nya sensitif, walaupun proses blokir kartu Bank BNI kalau hilang ribet dan butuh waktu lama.",Bank BNI,campuran
"Pengalaman pribadiku sih, masalah saya cepat teratasi berkat bantuan CS Bank BCA via telepon, cuma biaya tarik tunai di ATM bank lain dari Bank Mandiri selangit total.",Bank BCA,positif
"Dari pengalaman, tengah malam, biaya tarik tunai di ATM bank lain dari Bank BCA selangit sangat. Mending pindah ke Bank BRI aja kayaknya.",Bank BCA,negatif
"Honestly, Bank BCA overall bagus, buka rekening Bank BCA sekarang bisa full online, gak sampai 10 menit jadi dan CS Bank BCA sangat responsif dan membantu, masalah langsung kelar, beda cerita kalau petugas security Bank BCA kadang kurang ramah ke nasabah.",Bank BCA,campuran
lagi proses pengajuan kredit di Bank BCA.,Bank BCA,netral
"Kesel luar biasa sama Bank BRI, dari tadi pagi CS Bank BRI sering putus sambungan di tengah pembicaraan.",Bank BRI,negatif
"Kalau dari segi cs, pengalaman saya dengan customer service Bank BNI selalu baik dan solutif. Tapi kalau biaya, gak ada biaya top up ke e-wallet dari Bank BRI, hemat!. Susah milihnya.",Bank BNI,positif
"rekening Bank Mandiri saya gunakan khusus untuk tabungan, sambil ngecek saldo.",Bank Mandiri,netral
"Menurutku, Bank BCA overall bagus, update myBCA selalu membawa fitur baru yang berguna dan inovasi fintech Bank BCA selalu di depan dibanding kompetitor, cuma keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising.",Bank BCA,campuran
Birthday promo dari bank bri selalu menggiurkan setiap tahun. Bank BRI emang the best!,Bank BRI,positif
"Jujur, Bank BCA overall bagus, notifikasi real-time di myBCA selalu akurat dan tepat waktu dan ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis, cuma CS Bank BCA kurang solutif, masalah saya dioper-oper terus tanpa ada kejelasan.",Bank BCA,campuran
"Tadi, ketika lagi traveling, masalah saya cepat teratasi berkat bantuan CS Bank BNI via telepon. Bank BNI gak sebagus Bank BCA sih.",Bank BCA,negatif
"Akhir-akhir ini, pas weekend, biaya admin Bank Mandiri cukup terjangkau, sesuai dengan layanannya. Bank Mandiri masih di bawah Bank BRI sih.",Bank Mandiri,positif
"Update: akhirnya pindah ke Bank BRI, so far so good",Bank BRI,positif
"Kalau boleh jujur, saat transfer ke orang tua, parkir di gedung Bank BCA mahal dan terbatas banget. Mending pindah ke Bank Mandiri aja kayaknya.",Bank Mandiri,positif
"Kalau dari segi cs, CS Bank Mandiri sabar banget jelasinnya, gak bikin bingung. Tapi kalau biaya, biaya admin Bank BCA cukup terjangkau, sesuai dengan layanannya. Susah milihnya.",Bank BCA,positif
"Sejak pakai, Bank BRI overall bagus, proses verifikasi buka rekening Bank BRI via video call cepat dan mudah dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, sayangnya kasus fraud yang lambat ditangani tim Bank BRI.",Bank BRI,campuran
"Kalau dari segi pembukaan_rekening, proses verifikasi buka rekening Bank Mandiri via video call cepat dan mudah. Tapi kalau atm, layar ATM Bank BRI jernih dan touchscreen-nya sensitif. Susah milihnya.",Bank Mandiri,positif
"Sebagai yang sebagai freelancer, integrasi dengan berbagai platform digital di Bank BNI seamless. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
"Biaya transfer online bank bni lebih murah dari yang offline, di sisi lain biaya administrasi invest di Bank BRI tinggi, potong return.",Bank BNI,positif
"Lagi compare Bank Mandiri vs Bank BRI, ada masukan?",Bank BRI,netral
"Kesel super sama Bank BRI, tadi nomor antrian di Bank BRI sering error atau loncat-loncat.",Bank BRI,negatif
"Lagi compare Bank Mandiri vs Bank BCA, ada masukan?",Bank Mandiri,netral
Satpam di bank bri sigap membantu nasabah yang kebingungan. Gaskeun deh ke Bank BRI!,Bank BRI,positif
"Jujur, Bank Mandiri overall bagus, teknologi AI di Bank Mandiri membantu deteksi fraud dengan akurat dan robo advisor Bank Mandiri membantu pilih portofolio yang tepat, padahal banyak biaya tersembunyi kalau pakai Bank Mandiri, tiba-tiba saldo kepotong.",Bank Mandiri,campuran
"Minta saran dong, antara Bank BCA dan Bank BNI mana yang lebih worth it?",Bank BNI,netral
"Qris di brimo responsif dan gak pernah gagal, sat set bayarnya. Worth it banget pilih Bank BRI!",Bank BRI,positif
"Kesel super sama Bank BCA, akhir-akhir ini gak bisa customize dashboard di myBCA, layout-nya kaku.",Bank BCA,negatif
"Sebagai yang untuk usaha kecil, pemegang kartu debit Bank Mandiri sering dapat cashback di supermarket. Bank Mandiri cocok banget buat kebutuhan saya.",Bank Mandiri,positif
"Lagi compare Bank BRI vs Bank BNI, ada masukan?",Bank BRI,netral
"Kemarin banyak biaya tersembunyi kalau pakai Bank BRI, tiba-tiba saldo kepotong luar biasa. Kecewa sama Bank BRI.",Bank BRI,negatif
"Login di livin by mandiri sekarang cepat pakai biometrik, praktis!, tapi AC di kantor cabang Bank BRI kurang dingin, gerah nunggu.",Bank BRI,negatif
"Suka banget karena bank bca banyak promo transfer gratis via bi-fast, beda cerita kalau biaya transfer ke bank lain dari Bank Mandiri mahal, beda jauh sama yang lain.",Bank Mandiri,negatif
"Kalau dari segi teknologi, inovasi fintech Bank Mandiri selalu di depan dibanding kompetitor. Tapi kalau promo, birthday promo dari Bank BCA selalu menggiurkan setiap tahun. Susah milihnya.",Bank BCA,positif
"Kalau boleh jujur, Bank BCA overall bagus, tabungan Bank BCA gak ada minimum saldo yang memberatkan dan ATM Bank BCA ada fitur tarik tunai tanpa kartu, canggih!, namun kasus fraud yang lambat ditangani tim Bank BCA.",Bank BCA,campuran
"Bisa atur budget dan tracking pengeluaran di brimo, sangat membantu, namun CS Bank BCA kurang solutif, masalah saya dioper-oper terus tanpa ada kejelasan.",Bank BRI,positif
"Terus terang, jaringan ATM Bank BRI sangat luas, jadi gampang tarik tunai, walaupun sempat khawatir dengan kasus skimming di Bank BCA, jadi takut nabung banyak luar biasa.",Bank BCA,negatif
"Guys, Bank Mandiri atau Bank BCA ya buat kredit rumah? Lagi galau nih",Bank BCA,netral
"Belakangan, jam makan siang, ATM Bank Mandiri jarang kosong uangnya, selalu terisi. Bank Mandiri masih di bawah Bank BNI sih.",Bank Mandiri,positif
Cicilan 0% dari bank bri ngebantu banget buat beli barang elektronik. Recommend ekstrem buat yang mau coba Bank BRI!,Bank BRI,positif
"Tadi antrian di ATM Bank BCA selalu panjang, terutama weekend luar biasa. Kecewa sama Bank BCA.",Bank BCA,negatif
"anak saya baru buka tabungan pelajar di Bank BCA, sambil ngecek saldo.",Bank BCA,netral
"Honestly, jam makan siang, kasus fraud yang lambat ditangani tim Bank BRI luar biasa. Mending pindah ke Bank Mandiri aja kayaknya.",Bank BRI,negatif
"Lagi compare Bank BCA vs Bank BRI, ada masukan?",Bank BRI,netral
"Lagi compare Bank BNI vs Bank BRI, ada masukan?",Bank BNI,netral
"Jujur, pas system maintenance, night mode BRImo malah bikin mata pusing, kontras kurang banget. Mending pindah ke Bank Mandiri aja kayaknya.",Bank BRI,negatif
"Kalau dari segi atm, selain tarik tunai, fitur setor tunai di ATM Bank BRI sangat membantu. Tapi kalau atm, jaringan ATM Bank Mandiri sangat luas, jadi gampang tarik tunai. Susah milihnya.",Bank Mandiri,positif
Belakangan update BNI Mobile Banking bukannya makin bagus malah makin banyak bug banget. Kecewa sama Bank BNI.,Bank BNI,negatif
"Sebagai yang sebagai freelancer, integrasi dengan berbagai platform digital di Bank Mandiri seamless. Bank Mandiri cocok banget buat kebutuhan saya.",Bank Mandiri,positif
"Bisa atur budget dan tracking pengeluaran di brimo, sangat membantu. Gaskeun deh ke Bank BRI!",Bank BRI,positif
"Terus terang, Bank BNI overall bagus, biaya transfer online Bank BNI lebih murah dari yang offline dan walaupun antre, pelayanan di teller Bank BNI efisien dan cepat, akan tetapi BNI Mobile Banking crash kalau hp storage penuh, gak ada warning.",Bank BNI,campuran
"Sebagai yang sebagai freelancer, selain tarik tunai, fitur setor tunai di ATM Bank BRI sangat membantu. Bank BRI cocok banget buat kebutuhan saya.",Bank BRI,positif
"Bisa beli emas digital langsung dari aplikasi bank bni, sayangnya update myBCA bukannya makin bagus malah makin banyak bug.",Bank BCA,negatif
"Kemarin, waktu mau bayar tagihan, petugas di kantor cabang Bank BCA ramah-ramah dan informatif. Bank BCA masih di bawah Bank BRI sih.",Bank BRI,negatif
kemarin dapat sms dari Bank BNI soal promo terbaru kemarin.,Bank BNI,netral
"Lagi compare Bank Mandiri vs Bank BNI, ada masukan?",Bank BNI,netral
"Cicilan 0% dari bank bca ngebantu banget buat beli barang elektronik, tapi susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh.",Bank BNI,negatif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,Bank BRI,netral
"menggunakan Bank Mandiri untuk keperluan bisnis dan transaksi harian, sambil ngurus dokumen.",Bank Mandiri,netral
"Bulan ini gak bisa customize dashboard di myBCA, layout-nya kaku sangat. Kecewa sama Bank BCA.",Bank BCA,negatif
"Update: akhirnya pindah ke Bank BNI, so far so good",Bank BNI,positif
"Sejauh ini, Bank BCA overall bagus, login di myBCA sekarang cepat pakai biometrik, praktis! dan kalau transfer ke sesama Bank BCA gratis, jadi sering kupakai, sayangnya proses blokir kartu Bank BCA kalau hilang ribet dan butuh waktu lama.",Bank BCA,campuran
"Menurutku, Bank BRI overall bagus, onboarding di Bank BRI dikasih welcome gift yang menarik dan bisa beli emas digital langsung dari aplikasi Bank BRI, sayangnya sempat khawatir dengan kasus skimming di Bank BRI, jadi takut nabung banyak.",Bank BRI,campuran
"Lagi compare Bank BCA vs Bank Mandiri, ada masukan?",Bank Mandiri,netral
Ada yang pernah pakai Bank BRI dan Bank Mandiri? Share pengalaman dong,Bank BRI,netral
Cicilan 0% dari bank mandiri ngebantu banget buat beli barang elektronik. Bank Mandiri emang the best!,Bank Mandiri,positif
"Sejak pakai, Bank BRI overall bagus, pemegang kartu debit Bank BRI sering dapat cashback di supermarket dan onboarding di Bank BRI dikasih welcome gift yang menarik, padahal sempat khawatir dengan kasus skimming di Bank BRI, jadi takut nabung banyak.",Bank BRI,campuran
"Pengalaman pribadiku sih, reksadana di Bank BCA performanya konsisten bagus, namun charge untuk layanan priority banking Bank BNI gak worth it ekstrem.",Bank BNI,negatif
"Honestly, Bank Mandiri overall bagus, bisa bayar tagihan listrik dan PDAM di ATM Bank Mandiri dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, cuma sempat khawatir dengan kasus skimming di Bank Mandiri, jadi takut nabung banyak.",Bank Mandiri,campuran
Dari tadi pagi biaya tarik tunai di ATM bank lain dari Bank BCA selangit gila. Kecewa sama Bank BCA.,Bank BCA,negatif
"Sejak pakai, saat gajian, susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh super. Mending pindah ke Bank BRI aja kayaknya.",Bank BRI,positif
"Honestly, Bank Mandiri overall bagus, promo cashback Bank Mandiri sering banget, lumayan buat tambahan dan kolaborasi Bank Mandiri dengan e-commerce sering ada flash sale, di sisi lain sering nemu ATM Bank Mandiri yang uangnya pecahan besar semua, gak ada 50 ribu.",Bank Mandiri,campuran
Teknologi ai di bank bri membantu deteksi fraud dengan akurat. Bank BRI emang the best!,Bank BRI,positif
Sistem keamanan bank bni menggunakan enkripsi tingkat militer. Bank BNI emang the best!,Bank BNI,positif
"Kalau boleh jujur, Bank BCA overall bagus, antrian di ATM Bank BCA biasanya cepat karena mesinnya responsif dan satpam di Bank BCA sigap membantu nasabah yang kebingungan, tapi susah banget mau transfer pakai myBCA, muter-muter terus menunya.",Bank BCA,campuran
"Dokumen yang dibutuhkan buka rekening bank mandiri simpel, cuma ktp, cuma UI/UX dari BNI Mobile Banking agak membingungkan untuk orang tua, terlalu rumit.",Bank Mandiri,positif
"Akhir-akhir ini, ketika lagi traveling, antrian di ATM Bank BNI biasanya cepat karena mesinnya responsif. Bank BNI jauh lebih baik dari Bank BRI sih.",Bank BNI,positif
"Onboarding di bank bca dikasih welcome gift yang menarik, cuma antrian di ATM Bank Mandiri selalu panjang, terutama weekend.",Bank BCA,positif
"Guys, Bank BNI atau Bank Mandiri ya buat kredit rumah? Lagi galau nih",Bank Mandiri,netral
"Akhir-akhir ini, pas system maintenance, reksadana di Bank Mandiri performanya konsisten bagus. Bank Mandiri hampir sama kayak Bank BNI sih.",Bank BNI,negatif
"Sejak kemarin BRImo crash kalau hp storage penuh, gak ada warning banget. Kecewa sama Bank BRI.",Bank BRI,negatif
"1 bulan pakai Bank BNI, impressi pertama positif",Bank BNI,positif
Ada yang pernah pakai Bank Mandiri dan Bank BRI? Share pengalaman dong,Bank BRI,netral
"Sejak kemarin, tengah malam, myBCA sangat stabil dan jarang error, bisa diandalkan. Bank BCA jauh lebih baik dari Bank BRI sih.",Bank BRI,negatif
Reksadana di bank bri performanya konsisten bagus. Worth it banget pilih Bank BRI!,Bank BRI,positif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,Bank BRI,netral
Reksadana di bank mandiri performanya konsisten bagus. Bank Mandiri emang the best!,Bank Mandiri,positif
"Kalau menurut saya, Bank BCA overall bagus, buka rekening Bank BCA sekarang bisa full online, gak sampai 10 menit jadi dan bisa beli emas digital langsung dari aplikasi Bank BCA, beda cerita kalau UI/UX dari myBCA agak membingungkan untuk orang tua, terlalu rumit.",Bank BCA,campuran
"Kalau menurut saya, pas tanggal tua, antrian di kantor cabang Bank BCA panjangnya bukan main, bisa habis setengah hari parah. Mending pindah ke Bank BNI aja kayaknya.",Bank BCA,negatif
"Kesel total sama Bank BRI, bulan ini biaya admin bulanan Bank BRI lumayan mahal ya, apalagi kalau jarang dipakai.",Bank BRI,negatif
"Cs bank bca sabar banget jelasinnya, gak bikin bingung, walaupun biaya administrasi invest di Bank Mandiri tinggi, potong return.",Bank Mandiri,negatif
Top up e-wallet dari bni mobile banking instan masuknya. Recommend ekstrem buat yang mau coba Bank BNI!,Bank BNI,positif
"Kalau menurut saya, Bank BCA overall bagus, CS Bank BCA via WhatsApp responsif 24/7, sangat membantu dan tampilan myBCA modern dan user-friendly, enak dilihat, padahal banyak biaya tersembunyi kalau pakai Bank BCA, tiba-tiba saldo kepotong.",Bank BCA,campuran
"Terus terang, Bank BRI overall bagus, tabungan Bank BRI gak ada minimum saldo yang memberatkan dan buka rekening Bank BRI sekarang bisa full online, gak sampai 10 menit jadi, meski petugas Bank BRI kurang update soal produk terbaru.",Bank BRI,campuran
"Menurutku, Bank BNI overall bagus, satpam di Bank BNI sigap membantu nasabah yang kebingungan dan pemegang kartu debit Bank BNI sering dapat cashback di supermarket, walaupun sempat khawatir dengan kasus skimming di Bank BNI, jadi takut nabung banyak.",Bank BNI,campuran
"Sebagai yang ganti dari bank konvensional, program poin reward Bank BNI bisa ditukar berbagai hadiah menarik. Bank BNI cocok banget buat kebutuhan saya.",Bank BNI,positif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,Bank BNI,netral
"Sistem keamanan bank mandiri menggunakan enkripsi tingkat militer, walaupun nomor antrian di Bank BNI sering error atau loncat-loncat.",Bank Mandiri,positif
"Sebagai yang untuk usaha kecil, satpam di Bank BCA sigap membantu nasabah yang kebingungan. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Kalau menurut saya, Bank BCA overall bagus, widget di home screen untuk myBCA praktis banget dan jaringan ATM Bank BCA sangat luas, jadi gampang tarik tunai, tapi penalty kalau saldo minimum gak terpenuhi di Bank BCA gede banget.",Bank BCA,campuran
"Jujur, Bank BNI overall bagus, layar ATM Bank BNI jernih dan touchscreen-nya sensitif dan kolaborasi Bank BNI dengan e-commerce sering ada flash sale, beda cerita kalau biaya admin bulanan Bank BNI lumayan mahal ya, apalagi kalau jarang dipakai.",Bank BNI,campuran
"Bulan ini, ketika lagi traveling, biaya transfer online Bank Mandiri lebih murah dari yang offline. Bank Mandiri unggul dibanding Bank BCA sih.",Bank Mandiri,positif
"Sejak pakai, Bank BNI overall bagus, pemegang kartu debit Bank BNI sering dapat cashback di supermarket dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, namun UI/UX dari BNI Mobile Banking agak membingungkan untuk orang tua, terlalu rumit.",Bank BNI,campuran
"Kalau dari segi promo, program poin reward Bank BCA bisa ditukar berbagai hadiah menarik. Tapi kalau atm, ATM Bank Mandiri ada fitur tarik tunai tanpa kartu, canggih!. Susah milihnya.",Bank Mandiri,positif
"Integrasi dengan berbagai platform digital di bank bca seamless, padahal proses blokir kartu Bank BRI kalau hilang ribet dan butuh waktu lama.",Bank BRI,negatif
"Lagi compare Bank BRI vs Bank BNI, ada masukan?",Bank BNI,netral
"Kesel ekstrem sama Bank BNI, minggu lalu biaya kartu kredit Bank BNI annual fee-nya tinggi.",Bank BNI,negatif
"Sejak pakai, top up e-wallet dari BNI Mobile Banking instan masuknya, walaupun CS di social media Bank BRI balasnya lama dan sering template jawabannya ekstrem.",Bank BRI,negatif
"Guys, Bank BNI atau Bank BCA ya buat kredit rumah? Lagi galau nih",Bank BCA,netral
"Tadi, jam makan siang, fitur split bill di BNI Mobile Banking memudahkan patungan sama teman. Bank BNI jauh lebih baik dari Bank BRI sih.",Bank BRI,negatif
"Sebagai yang buat anak kuliah, tabungan Bank BCA gak ada minimum saldo yang memberatkan. Bank BCA cocok banget buat kebutuhan saya.",Bank BCA,positif
"Menurutku, saat transfer ke orang tua, ATM Bank BRI sering offline atau rusak, pas butuh malah gak bisa dipakai luar biasa. Mending pindah ke Bank BNI aja kayaknya.",Bank BNI,positif
"kemarin dapat sms dari Bank Mandiri soal promo terbaru, sambil ngecek saldo.",Bank Mandiri,netral
"Bulan ini telepon CS Bank BCA antrinya lama banget, habis pulsa banyak cuma buat nunggu super. Kecewa sama Bank BCA.",Bank BCA,negatif
"Lagi compare Bank BCA vs Bank BRI, ada masukan?",Bank BRI,netral
Ada yang pernah pakai Bank Mandiri dan Bank BRI? Share pengalaman dong,Bank BRI,netral
