comment,sentinment,score,label
"Menurutku, sistem keamanan Bank BCA menggunakan enkripsi tingkat militer, tapi keamanan data di Bank BRI perlu ditingkatkan lagi, masih was-was soal phising super.",negative,0.9941494464874268,negatif
"Sejauh ini, Bank Mandiri overall bagus, kartu debit Bank Mandiri langsung aktif setelah rekening jadi dan robo advisor Bank Mandiri membantu pilih portofolio yang tepat, beda cerita kalau kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",neutral,0.8402110934257507,campuran
"Sebagai yang sebagai freelancer, inovasi fintech Bank BCA selalu di depan dibanding kompetitor. Bank BCA cocok banget buat kebutuhan saya.",positive,0.9958916902542114,positif
"Kalau boleh jujur, Bank BNI overall bagus, bisa beli emas digital langsung dari aplikasi Bank BNI dan promo cashback Bank BNI sering banget, lumayan buat tambahan, padahal jam operasional cabang Bank BNI terbatas, sulit pas hari kerja.",positive,0.9892027974128723,campuran
Bank BCA buka cabang baru di deket rumah saya sejak kemarin.,neutral,0.9945809245109558,netral
"Lagi compare Bank Mandiri vs Bank BCA, ada masukan?",neutral,0.9979250431060791,netral
"Sejauh ini, Bank Mandiri overall bagus, buka rekening Bank Mandiri sekarang bisa full online, gak sampai 10 menit jadi dan fitur investasi di Bank Mandiri mudah dipahami pemula, di sisi lain telepon CS Bank Mandiri antrinya lama banget, habis pulsa banyak cuma buat nunggu.",negative,0.8389594554901123,campuran
Ada yang pernah pakai Bank Mandiri dan Bank BCA? Share pengalaman dong,neutral,0.9935299754142761,netral
"Pengalaman pribadiku sih, Bank Mandiri overall bagus, selain tarik tunai, fitur setor tunai di ATM Bank Mandiri sangat membantu dan program poin reward Bank Mandiri bisa ditukar berbagai hadiah menarik, beda cerita kalau Livin by Mandiri crash kalau hp storage penuh, gak ada warning.",positive,0.9915475249290466,campuran
"Kalau menurut saya, dokumen yang dibutuhkan buka rekening Bank Mandiri simpel, cuma KTP, tapi keamanan data di Bank BRI perlu ditingkatkan lagi, masih was-was soal phising sangat.",negative,0.991807758808136,positif
"Kesel gila sama Bank BNI, bulan ini data breach di Bank BNI beberapa waktu lalu bikin khawatir.",negative,0.9924005270004272,negatif
"Kalau boleh jujur, ketika lagi traveling, gak bisa customize dashboard di Livin by Mandiri, layout-nya kaku parah. Mending pindah ke Bank BRI aja kayaknya.",negative,0.9194976091384888,negatif
"Honestly, Bank Mandiri overall bagus, CS Bank Mandiri sabar banget jelasinnya, gak bikin bingung dan weekend sale Bank Mandiri selalu ada promo hotel dan travel, cuma keamanan area ATM Bank Mandiri kurang, sering ada orang mencurigakan.",positive,0.9931958913803101,campuran
"Sebagai yang pensiun dari bank lama, sering dapat promo menarik dari kartu kredit Bank BNI, diskonnya lumayan. Bank BNI cocok banget buat kebutuhan saya.",positive,0.9974435567855835,positif
"Terus terang, biaya admin Bank Mandiri cukup terjangkau, sesuai dengan layanannya, padahal keamanan area ATM Bank BRI kurang, sering ada orang mencurigakan total.",negative,0.9915381669998169,positif
"Lagi compare Bank BCA vs Bank BNI, ada masukan?",neutral,0.9979100823402405,netral
"Sebagai yang sebagai freelancer, Bank BCA banyak kerjasama dengan merchant, jadi banyak diskon F&B. Bank BCA cocok banget buat kebutuhan saya.",positive,0.996924102306366,positif
"Lagi compare Bank BCA vs Bank BRI, ada masukan?",neutral,0.9979017972946167,netral
"Terus terang, teknologi AI di Bank BCA membantu deteksi fraud dengan akurat, walaupun CS di social media Bank BNI balasnya lama dan sering template jawabannya ekstrem.",negative,0.9528324007987976,negatif
"Guys, Bank BRI atau Bank Mandiri ya buat kredit rumah? Lagi galau nih",neutral,0.8391174077987671,netral
"Terus terang, Bank BRI overall bagus, gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BRI dan antrian di ATM Bank BRI biasanya cepat karena mesinnya responsif, sayangnya kasus fraud yang lambat ditangani tim Bank BRI.",positive,0.897649884223938,campuran
"Menurutku, Bank BCA overall bagus, sering dapat promo menarik dari kartu kredit Bank BCA, diskonnya lumayan dan SBN dan obligasi di Bank BCA pilihan investasinya beragam, di sisi lain receipt ATM Bank BCA sering habis kertas atau blur printnya.",positive,0.9952011108398438,campuran
"Menurutku, Bank BRI overall bagus, API Bank BRI untuk developer sangat well-documented dan bisa atur budget dan tracking pengeluaran di BRImo, sangat membantu, tapi email complaint ke Bank BRI gak pernah dibalas dengan tuntas.",negative,0.8259348273277283,campuran
"Lagi compare Bank BCA vs Bank BNI, ada masukan?",neutral,0.9979100823402405,netral
"Jujur, pas lagi butuh dana darurat, CS Bank BCA sering putus sambungan di tengah pembicaraan sangat. Mending pindah ke Bank BNI aja kayaknya.",negative,0.9088479280471802,negatif
"Sejauh ini, Bank BNI overall bagus, pemegang kartu debit Bank BNI sering dapat cashback di supermarket dan aplikasi BNI Mobile Banking-nya sangat intuitif dan mudah digunakan, bahkan buat pemula, beda cerita kalau biaya tarik tunai di ATM bank lain dari Bank BNI selangit.",positive,0.9904940724372864,campuran
"Sebagai yang pensiun dari bank lama, integrasi dengan berbagai platform digital di Bank BRI seamless. Bank BRI cocok banget buat kebutuhan saya.",positive,0.9954931735992432,positif
"saya punya rekening di Bank BNI dan juga di Bank BRI, sambil tanya-tanya produk.",neutral,0.9970576763153076,netral
Ada yang pernah pakai Bank BCA dan Bank BRI? Share pengalaman dong,neutral,0.9933748841285706,netral
"Jujur, pas system maintenance, ATM Bank BCA sering offline atau rusak, pas butuh malah gak bisa dipakai banget. Mending pindah ke Bank BNI aja kayaknya.",negative,0.9449176788330078,positif
"Dari pengalaman, Bank BNI overall bagus, CS Bank BNI via WhatsApp responsif 24/7, sangat membantu dan buka rekening Bank BNI sekarang bisa full online, gak sampai 10 menit jadi, cuma petugas security Bank BNI kadang kurang ramah ke nasabah.",positive,0.933123767375946,campuran
"Kesel banget sama Bank BRI, sejak kemarin notifikasi BRImo spam banget, banyak yang gak penting.",negative,0.9979360103607178,negatif
"Menurutku, Bank BRI overall bagus, CS Bank BRI sangat responsif dan membantu, masalah langsung kelar dan inovasi fintech Bank BRI selalu di depan dibanding kompetitor, namun kasus fraud yang lambat ditangani tim Bank BRI.",positive,0.9951500296592712,campuran
"Kesel total sama Bank Mandiri, bulan ini petugas security Bank Mandiri kadang kurang ramah ke nasabah.",negative,0.9965826869010925,negatif
Gak ada setoran awal minimum yang besar untuk buka tabungan di bank bca. Gaskeun deh ke Bank BCA!,neutral,0.5988069176673889,positif
"Minta saran dong, antara Bank Mandiri dan Bank BCA mana yang lebih worth it?",neutral,0.6258466243743896,netral
"Kalau menurut saya, Bank BCA overall bagus, update myBCA selalu membawa fitur baru yang berguna dan live chat di website Bank BCA selalu ada yang standby, akan tetapi nomor antrian di Bank BCA sering error atau loncat-loncat.",negative,0.9125324487686157,campuran
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",neutral,0.8849978446960449,netral
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,neutral,0.9936279058456421,netral
"Guys, Bank BNI atau Bank BRI ya buat kredit rumah? Lagi galau nih",neutral,0.8849978446960449,netral
"Dari tadi pagi, saat gajian, bisa bayar tagihan listrik dan PDAM di ATM Bank BCA. Bank BCA masih di bawah Bank Mandiri sih.",neutral,0.9331752061843872,negatif
"Api bank bni untuk developer sangat well-documented, padahal CS Bank BRI sering putus sambungan di tengah pembicaraan.",negative,0.9195945858955383,negatif
"Sejak pakai, ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis, namun penalty kalau saldo minimum gak terpenuhi di Bank BRI gede banget bener-bener.",positive,0.9956579208374023,positif
"Dari pengalaman, pas system maintenance, AC di kantor cabang Bank Mandiri kurang dingin, gerah nunggu banget. Mending pindah ke Bank BRI aja kayaknya.",negative,0.9663032293319702,positif
"Kalau menurut saya, Bank BNI overall bagus, BNI Mobile Banking sangat stabil dan jarang error, bisa diandalkan dan layar ATM Bank BNI jernih dan touchscreen-nya sensitif, walaupun proses blokir kartu Bank BNI kalau hilang ribet dan butuh waktu lama.",positive,0.9955058097839355,campuran
"Pengalaman pribadiku sih, masalah saya cepat teratasi berkat bantuan CS Bank BCA via telepon, cuma biaya tarik tunai di ATM bank lain dari Bank Mandiri selangit total.",neutral,0.48653900623321533,positif
"Dari pengalaman, tengah malam, biaya tarik tunai di ATM bank lain dari Bank BCA selangit sangat. Mending pindah ke Bank BRI aja kayaknya.",negative,0.7275567650794983,negatif
"Honestly, Bank BCA overall bagus, buka rekening Bank BCA sekarang bisa full online, gak sampai 10 menit jadi dan CS Bank BCA sangat responsif dan membantu, masalah langsung kelar, beda cerita kalau petugas security Bank BCA kadang kurang ramah ke nasabah.",positive,0.9925175905227661,campuran
lagi proses pengajuan kredit di Bank BCA.,neutral,0.9982566237449646,netral
"Kesel luar biasa sama Bank BRI, dari tadi pagi CS Bank BRI sering putus sambungan di tengah pembicaraan.",negative,0.9955671429634094,negatif
"Kalau dari segi cs, pengalaman saya dengan customer service Bank BNI selalu baik dan solutif. Tapi kalau biaya, gak ada biaya top up ke e-wallet dari Bank BRI, hemat!. Susah milihnya.",positive,0.9550901055335999,positif
"rekening Bank Mandiri saya gunakan khusus untuk tabungan, sambil ngecek saldo.",neutral,0.9979193806648254,netral
"Menurutku, Bank BCA overall bagus, update myBCA selalu membawa fitur baru yang berguna dan inovasi fintech Bank BCA selalu di depan dibanding kompetitor, cuma keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising.",positive,0.9179559946060181,campuran
Birthday promo dari bank bri selalu menggiurkan setiap tahun. Bank BRI emang the best!,positive,0.9961456060409546,positif
"Jujur, Bank BCA overall bagus, notifikasi real-time di myBCA selalu akurat dan tepat waktu dan ATM Bank BCA bisa deposit cek, praktis untuk yang bisnis, cuma CS Bank BCA kurang solutif, masalah saya dioper-oper terus tanpa ada kejelasan.",positive,0.561410665512085,campuran
"Tadi, ketika lagi traveling, masalah saya cepat teratasi berkat bantuan CS Bank BNI via telepon. Bank BNI gak sebagus Bank BCA sih.",positive,0.7803955674171448,negatif
"Akhir-akhir ini, pas weekend, biaya admin Bank Mandiri cukup terjangkau, sesuai dengan layanannya. Bank Mandiri masih di bawah Bank BRI sih.",positive,0.9861673712730408,positif
"Update: akhirnya pindah ke Bank BRI, so far so good",neutral,0.7929884791374207,positif
"Kalau boleh jujur, saat transfer ke orang tua, parkir di gedung Bank BCA mahal dan terbatas banget. Mending pindah ke Bank Mandiri aja kayaknya.",negative,0.9822669625282288,positif
"Kalau dari segi cs, CS Bank Mandiri sabar banget jelasinnya, gak bikin bingung. Tapi kalau biaya, biaya admin Bank BCA cukup terjangkau, sesuai dengan layanannya. Susah milihnya.",positive,0.9395090937614441,positif
"Sejak pakai, Bank BRI overall bagus, proses verifikasi buka rekening Bank BRI via video call cepat dan mudah dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, sayangnya kasus fraud yang lambat ditangani tim Bank BRI.",positive,0.9801616668701172,campuran
"Kalau dari segi pembukaan_rekening, proses verifikasi buka rekening Bank Mandiri via video call cepat dan mudah. Tapi kalau atm, layar ATM Bank BRI jernih dan touchscreen-nya sensitif. Susah milihnya.",positive,0.4890519380569458,positif
"Sebagai yang sebagai freelancer, integrasi dengan berbagai platform digital di Bank BNI seamless. Bank BNI cocok banget buat kebutuhan saya.",positive,0.9937513470649719,positif
"Biaya transfer online bank bni lebih murah dari yang offline, di sisi lain biaya administrasi invest di Bank BRI tinggi, potong return.",positive,0.7750739455223083,positif
"Lagi compare Bank Mandiri vs Bank BRI, ada masukan?",neutral,0.9979750514030457,netral
"Kesel super sama Bank BRI, tadi nomor antrian di Bank BRI sering error atau loncat-loncat.",negative,0.9963728189468384,negatif
"Lagi compare Bank Mandiri vs Bank BCA, ada masukan?",neutral,0.9979250431060791,netral
Satpam di bank bri sigap membantu nasabah yang kebingungan. Gaskeun deh ke Bank BRI!,positive,0.934906542301178,positif
"Jujur, Bank Mandiri overall bagus, teknologi AI di Bank Mandiri membantu deteksi fraud dengan akurat dan robo advisor Bank Mandiri membantu pilih portofolio yang tepat, padahal banyak biaya tersembunyi kalau pakai Bank Mandiri, tiba-tiba saldo kepotong.",negative,0.6901057958602905,campuran
"Minta saran dong, antara Bank BCA dan Bank BNI mana yang lebih worth it?",neutral,0.6389492154121399,netral
"Qris di brimo responsif dan gak pernah gagal, sat set bayarnya. Worth it banget pilih Bank BRI!",positive,0.9959367513656616,positif
"Kesel super sama Bank BCA, akhir-akhir ini gak bisa customize dashboard di myBCA, layout-nya kaku.",negative,0.9970794916152954,negatif
"Sebagai yang untuk usaha kecil, pemegang kartu debit Bank Mandiri sering dapat cashback di supermarket. Bank Mandiri cocok banget buat kebutuhan saya.",positive,0.9948893785476685,positif
"Lagi compare Bank BRI vs Bank BNI, ada masukan?",neutral,0.9979209303855896,netral
"Kemarin banyak biaya tersembunyi kalau pakai Bank BRI, tiba-tiba saldo kepotong luar biasa. Kecewa sama Bank BRI.",negative,0.9981036186218262,negatif
"Login di livin by mandiri sekarang cepat pakai biometrik, praktis!, tapi AC di kantor cabang Bank BRI kurang dingin, gerah nunggu.",negative,0.992982029914856,negatif
"Suka banget karena bank bca banyak promo transfer gratis via bi-fast, beda cerita kalau biaya transfer ke bank lain dari Bank Mandiri mahal, beda jauh sama yang lain.",positive,0.9878534078598022,negatif
"Kalau dari segi teknologi, inovasi fintech Bank Mandiri selalu di depan dibanding kompetitor. Tapi kalau promo, birthday promo dari Bank BCA selalu menggiurkan setiap tahun. Susah milihnya.",positive,0.991945207118988,positif
"Kalau boleh jujur, Bank BCA overall bagus, tabungan Bank BCA gak ada minimum saldo yang memberatkan dan ATM Bank BCA ada fitur tarik tunai tanpa kartu, canggih!, namun kasus fraud yang lambat ditangani tim Bank BCA.",neutral,0.4296388030052185,campuran
"Bisa atur budget dan tracking pengeluaran di brimo, sangat membantu, namun CS Bank BCA kurang solutif, masalah saya dioper-oper terus tanpa ada kejelasan.",negative,0.9807126522064209,positif
"Terus terang, jaringan ATM Bank BRI sangat luas, jadi gampang tarik tunai, walaupun sempat khawatir dengan kasus skimming di Bank BCA, jadi takut nabung banyak luar biasa.",positive,0.9968350529670715,negatif
"Guys, Bank Mandiri atau Bank BCA ya buat kredit rumah? Lagi galau nih",neutral,0.8717924356460571,netral
"Belakangan, jam makan siang, ATM Bank Mandiri jarang kosong uangnya, selalu terisi. Bank Mandiri masih di bawah Bank BNI sih.",neutral,0.7402265071868896,positif
Cicilan 0% dari bank bri ngebantu banget buat beli barang elektronik. Recommend ekstrem buat yang mau coba Bank BRI!,positive,0.994196891784668,positif
"Tadi antrian di ATM Bank BCA selalu panjang, terutama weekend luar biasa. Kecewa sama Bank BCA.",negative,0.9978064894676208,negatif
"anak saya baru buka tabungan pelajar di Bank BCA, sambil ngecek saldo.",neutral,0.9980260729789734,netral
"Honestly, jam makan siang, kasus fraud yang lambat ditangani tim Bank BRI luar biasa. Mending pindah ke Bank Mandiri aja kayaknya.",negative,0.6705535054206848,negatif
"Lagi compare Bank BCA vs Bank BRI, ada masukan?",neutral,0.9979017972946167,netral
"Lagi compare Bank BNI vs Bank BRI, ada masukan?",neutral,0.9978910088539124,netral
"Jujur, pas system maintenance, night mode BRImo malah bikin mata pusing, kontras kurang banget. Mending pindah ke Bank Mandiri aja kayaknya.",negative,0.9440141320228577,negatif
"Kalau dari segi atm, selain tarik tunai, fitur setor tunai di ATM Bank BRI sangat membantu. Tapi kalau atm, jaringan ATM Bank Mandiri sangat luas, jadi gampang tarik tunai. Susah milihnya.",positive,0.989072322845459,positif
Belakangan update BNI Mobile Banking bukannya makin bagus malah makin banyak bug banget. Kecewa sama Bank BNI.,negative,0.9979255199432373,negatif
"Sebagai yang sebagai freelancer, integrasi dengan berbagai platform digital di Bank Mandiri seamless. Bank Mandiri cocok banget buat kebutuhan saya.",positive,0.9942055344581604,positif
"Bisa atur budget dan tracking pengeluaran di brimo, sangat membantu. Gaskeun deh ke Bank BRI!",positive,0.9848810434341431,positif
"Terus terang, Bank BNI overall bagus, biaya transfer online Bank BNI lebih murah dari yang offline dan walaupun antre, pelayanan di teller Bank BNI efisien dan cepat, akan tetapi BNI Mobile Banking crash kalau hp storage penuh, gak ada warning.",negative,0.682526171207428,campuran
"Sebagai yang sebagai freelancer, selain tarik tunai, fitur setor tunai di ATM Bank BRI sangat membantu. Bank BRI cocok banget buat kebutuhan saya.",positive,0.996356725692749,positif
"Bisa beli emas digital langsung dari aplikasi bank bni, sayangnya update myBCA bukannya makin bagus malah makin banyak bug.",negative,0.9514405727386475,negatif
"Kemarin, waktu mau bayar tagihan, petugas di kantor cabang Bank BCA ramah-ramah dan informatif. Bank BCA masih di bawah Bank BRI sih.",positive,0.890647292137146,negatif
kemarin dapat sms dari Bank BNI soal promo terbaru kemarin.,neutral,0.9977503418922424,netral
"Lagi compare Bank Mandiri vs Bank BNI, ada masukan?",neutral,0.9979815483093262,netral
"Cicilan 0% dari bank bca ngebantu banget buat beli barang elektronik, tapi susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh.",negative,0.8939591646194458,negatif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,neutral,0.9936279058456421,netral
"menggunakan Bank Mandiri untuk keperluan bisnis dan transaksi harian, sambil ngurus dokumen.",neutral,0.9889792203903198,netral
"Bulan ini gak bisa customize dashboard di myBCA, layout-nya kaku sangat. Kecewa sama Bank BCA.",negative,0.9977251887321472,negatif
"Update: akhirnya pindah ke Bank BNI, so far so good",neutral,0.8108737468719482,positif
"Sejauh ini, Bank BCA overall bagus, login di myBCA sekarang cepat pakai biometrik, praktis! dan kalau transfer ke sesama Bank BCA gratis, jadi sering kupakai, sayangnya proses blokir kartu Bank BCA kalau hilang ribet dan butuh waktu lama.",positive,0.9858885407447815,campuran
"Menurutku, Bank BRI overall bagus, onboarding di Bank BRI dikasih welcome gift yang menarik dan bisa beli emas digital langsung dari aplikasi Bank BRI, sayangnya sempat khawatir dengan kasus skimming di Bank BRI, jadi takut nabung banyak.",positive,0.9952183365821838,campuran
"Lagi compare Bank BCA vs Bank Mandiri, ada masukan?",neutral,0.9979402422904968,netral
Ada yang pernah pakai Bank BRI dan Bank Mandiri? Share pengalaman dong,neutral,0.9934470057487488,netral
Cicilan 0% dari bank mandiri ngebantu banget buat beli barang elektronik. Bank Mandiri emang the best!,positive,0.996496856212616,positif
"Sejak pakai, Bank BRI overall bagus, pemegang kartu debit Bank BRI sering dapat cashback di supermarket dan onboarding di Bank BRI dikasih welcome gift yang menarik, padahal sempat khawatir dengan kasus skimming di Bank BRI, jadi takut nabung banyak.",positive,0.9945801496505737,campuran
"Pengalaman pribadiku sih, reksadana di Bank BCA performanya konsisten bagus, namun charge untuk layanan priority banking Bank BNI gak worth it ekstrem.",negative,0.8985120058059692,negatif
"Honestly, Bank Mandiri overall bagus, bisa bayar tagihan listrik dan PDAM di ATM Bank Mandiri dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, cuma sempat khawatir dengan kasus skimming di Bank Mandiri, jadi takut nabung banyak.",positive,0.9961916208267212,campuran
Dari tadi pagi biaya tarik tunai di ATM bank lain dari Bank BCA selangit gila. Kecewa sama Bank BCA.,negative,0.9974652528762817,negatif
"Sejak pakai, saat gajian, susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh super. Mending pindah ke Bank BRI aja kayaknya.",negative,0.9606461524963379,positif
"Honestly, Bank Mandiri overall bagus, promo cashback Bank Mandiri sering banget, lumayan buat tambahan dan kolaborasi Bank Mandiri dengan e-commerce sering ada flash sale, di sisi lain sering nemu ATM Bank Mandiri yang uangnya pecahan besar semua, gak ada 50 ribu.",positive,0.9905905723571777,campuran
Teknologi ai di bank bri membantu deteksi fraud dengan akurat. Bank BRI emang the best!,positive,0.9655949473381042,positif
Sistem keamanan bank bni menggunakan enkripsi tingkat militer. Bank BNI emang the best!,positive,0.9839751124382019,positif
"Kalau boleh jujur, Bank BCA overall bagus, antrian di ATM Bank BCA biasanya cepat karena mesinnya responsif dan satpam di Bank BCA sigap membantu nasabah yang kebingungan, tapi susah banget mau transfer pakai myBCA, muter-muter terus menunya.",positive,0.791814386844635,campuran
"Dokumen yang dibutuhkan buka rekening bank mandiri simpel, cuma ktp, cuma UI/UX dari BNI Mobile Banking agak membingungkan untuk orang tua, terlalu rumit.",negative,0.9665103554725647,positif
"Akhir-akhir ini, ketika lagi traveling, antrian di ATM Bank BNI biasanya cepat karena mesinnya responsif. Bank BNI jauh lebih baik dari Bank BRI sih.",positive,0.9657397866249084,positif
"Onboarding di bank bca dikasih welcome gift yang menarik, cuma antrian di ATM Bank Mandiri selalu panjang, terutama weekend.",positive,0.9878853559494019,positif
"Guys, Bank BNI atau Bank Mandiri ya buat kredit rumah? Lagi galau nih",neutral,0.8587680459022522,netral
"Akhir-akhir ini, pas system maintenance, reksadana di Bank Mandiri performanya konsisten bagus. Bank Mandiri hampir sama kayak Bank BNI sih.",positive,0.9941512942314148,negatif
"Sejak kemarin BRImo crash kalau hp storage penuh, gak ada warning banget. Kecewa sama Bank BRI.",negative,0.9979384541511536,negatif
"1 bulan pakai Bank BNI, impressi pertama positif",neutral,0.9759932160377502,positif
Ada yang pernah pakai Bank Mandiri dan Bank BRI? Share pengalaman dong,neutral,0.9935441017150879,netral
"Sejak kemarin, tengah malam, myBCA sangat stabil dan jarang error, bisa diandalkan. Bank BCA jauh lebih baik dari Bank BRI sih.",positive,0.989526629447937,negatif
Reksadana di bank bri performanya konsisten bagus. Worth it banget pilih Bank BRI!,positive,0.9956578016281128,positif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,neutral,0.9936279058456421,netral
Reksadana di bank mandiri performanya konsisten bagus. Bank Mandiri emang the best!,positive,0.9961121678352356,positif
"Kalau menurut saya, Bank BCA overall bagus, buka rekening Bank BCA sekarang bisa full online, gak sampai 10 menit jadi dan bisa beli emas digital langsung dari aplikasi Bank BCA, beda cerita kalau UI/UX dari myBCA agak membingungkan untuk orang tua, terlalu rumit.",negative,0.9515876770019531,campuran
"Kalau menurut saya, pas tanggal tua, antrian di kantor cabang Bank BCA panjangnya bukan main, bisa habis setengah hari parah. Mending pindah ke Bank BNI aja kayaknya.",negative,0.9320037364959717,negatif
"Kesel total sama Bank BRI, bulan ini biaya admin bulanan Bank BRI lumayan mahal ya, apalagi kalau jarang dipakai.",negative,0.9960141181945801,negatif
"Cs bank bca sabar banget jelasinnya, gak bikin bingung, walaupun biaya administrasi invest di Bank Mandiri tinggi, potong return.",positive,0.9933763146400452,negatif
Top up e-wallet dari bni mobile banking instan masuknya. Recommend ekstrem buat yang mau coba Bank BNI!,positive,0.7710129022598267,positif
"Kalau menurut saya, Bank BCA overall bagus, CS Bank BCA via WhatsApp responsif 24/7, sangat membantu dan tampilan myBCA modern dan user-friendly, enak dilihat, padahal banyak biaya tersembunyi kalau pakai Bank BCA, tiba-tiba saldo kepotong.",positive,0.9940319657325745,campuran
"Terus terang, Bank BRI overall bagus, tabungan Bank BRI gak ada minimum saldo yang memberatkan dan buka rekening Bank BRI sekarang bisa full online, gak sampai 10 menit jadi, meski petugas Bank BRI kurang update soal produk terbaru.",positive,0.7926165461540222,campuran
"Menurutku, Bank BNI overall bagus, satpam di Bank BNI sigap membantu nasabah yang kebingungan dan pemegang kartu debit Bank BNI sering dapat cashback di supermarket, walaupun sempat khawatir dengan kasus skimming di Bank BNI, jadi takut nabung banyak.",positive,0.9969276785850525,campuran
"Sebagai yang ganti dari bank konvensional, program poin reward Bank BNI bisa ditukar berbagai hadiah menarik. Bank BNI cocok banget buat kebutuhan saya.",positive,0.9956574440002441,positif
Ada yang pernah pakai Bank BNI dan Bank BRI? Share pengalaman dong,neutral,0.9936279058456421,netral
"Sistem keamanan bank mandiri menggunakan enkripsi tingkat militer, walaupun nomor antrian di Bank BNI sering error atau loncat-loncat.",neutral,0.8599050045013428,positif
"Sebagai yang untuk usaha kecil, satpam di Bank BCA sigap membantu nasabah yang kebingungan. Bank BCA cocok banget buat kebutuhan saya.",positive,0.9961990714073181,positif
"Kalau menurut saya, Bank BCA overall bagus, widget di home screen untuk myBCA praktis banget dan jaringan ATM Bank BCA sangat luas, jadi gampang tarik tunai, tapi penalty kalau saldo minimum gak terpenuhi di Bank BCA gede banget.",positive,0.9971439242362976,campuran
"Jujur, Bank BNI overall bagus, layar ATM Bank BNI jernih dan touchscreen-nya sensitif dan kolaborasi Bank BNI dengan e-commerce sering ada flash sale, beda cerita kalau biaya admin bulanan Bank BNI lumayan mahal ya, apalagi kalau jarang dipakai.",positive,0.9942776560783386,campuran
"Bulan ini, ketika lagi traveling, biaya transfer online Bank Mandiri lebih murah dari yang offline. Bank Mandiri unggul dibanding Bank BCA sih.",positive,0.9941282272338867,positif
"Sejak pakai, Bank BNI overall bagus, pemegang kartu debit Bank BNI sering dapat cashback di supermarket dan biaya admin bulanannya worth it dengan semua kemudahan yang didapat, namun UI/UX dari BNI Mobile Banking agak membingungkan untuk orang tua, terlalu rumit.",negative,0.9010067582130432,campuran
"Kalau dari segi promo, program poin reward Bank BCA bisa ditukar berbagai hadiah menarik. Tapi kalau atm, ATM Bank Mandiri ada fitur tarik tunai tanpa kartu, canggih!. Susah milihnya.",positive,0.9661422371864319,positif
