teks,target_bank,sentimen
"Pengalaman pribadiku sih, untuk Bank Mandiri, cicilan 0% dari Bank Mandiri ngebantu banget buat beli barang elektronik, sayangnya sempat khawatir dengan kasus skimming di Bank Mandiri, jadi takut nabung banyak.",Bank Mandiri,campuran
"Buka rekening bank bca sekarang bisa full online, gak sampai 10 menit jadi, namun biaya admin bulanan Bank BNI lumayan mahal ya, apalagi kalau jarang dipakai.",Bank BCA,positif
"Buka rekening bank bca sekarang bisa full online, gak sampai 10 menit jadi, namun biaya admin bulanan Bank BNI lumayan mahal ya, apalagi kalau jarang dipakai.",Bank BNI,negatif
"Buka rekening bank bca sekarang bisa full online, gak sampai 10 menit jadi, beda cerita kalau kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BCA,positif
"Buka rekening bank bca sekarang bisa full online, gak sampai 10 menit jadi, beda cerita kalau kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BNI,negatif
baru saja memindahkan rekening gaji saya ke Bank BTN.,Bank BTN,netral
baru saja memindahkan rekening gaji saya ke Bank BCA.,Bank BCA,netral
saya adalah nasabah Bank BTN sudah 5 tahun.,Bank BTN,netral
rekening Bank BCA saya gunakan khusus untuk tabungan.,Bank BCA,netral
menggunakan Bank BTN untuk keperluan bisnis dan transaksi harian.,Bank BTN,netral
"Jujur, untuk Bank BCA, proses verifikasi buka rekening Bank BCA via video call cepat dan mudah, di sisi lain myBCA sering tiba-tiba logout sendiri, harus login ulang terus.",Bank BCA,campuran
menggunakan Bank Mandiri untuk keperluan bisnis dan transaksi harian.,Bank Mandiri,netral
menggunakan Bank BNI untuk keperluan bisnis dan transaksi harian.,Bank BNI,netral
Pengalaman saya dengan customer service bank btn selalu baik dan solutif. Kalau Bank Mandiri sih standar aja menurutku.,Bank BTN,positif
Pengalaman saya dengan customer service bank btn selalu baik dan solutif. Kalau Bank Mandiri sih standar aja menurutku.,Bank Mandiri,netral
"Gak ada setoran awal minimum yang besar untuk buka tabungan di bank bni, beda cerita kalau proses blokir kartu Bank BTN kalau hilang ribet dan butuh waktu lama.",Bank BNI,positif
"Gak ada setoran awal minimum yang besar untuk buka tabungan di bank bni, beda cerita kalau proses blokir kartu Bank BTN kalau hilang ribet dan butuh waktu lama.",Bank BTN,negatif
rekening Bank BCA saya gunakan khusus untuk tabungan.,Bank BCA,netral
"Selain tarik tunai, fitur setor tunai di atm bank mandiri sangat membantu, beda cerita kalau susah banget mau transfer pakai BTN Mobile, muter-muter terus menunya.",Bank Mandiri,positif
"Selain tarik tunai, fitur setor tunai di atm bank mandiri sangat membantu, beda cerita kalau susah banget mau transfer pakai BTN Mobile, muter-muter terus menunya.",Bank BTN,negatif
"Suka banget sama Bank BCA, proses verifikasi buka rekening Bank BCA via video call cepat dan mudah.",Bank BCA,positif
rekening Bank BCA saya gunakan khusus untuk tabungan.,Bank BCA,netral
saya punya rekening di Bank Mandiri dan juga di Bank BNI.,Bank Mandiri,netral
saya adalah nasabah Bank BCA sudah 5 tahun.,Bank BCA,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BTN ya? Lagi bingung nih.",Bank Mandiri,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BTN ya? Lagi bingung nih.",Bank BTN,netral
"Suka banget sama Bank BCA, petugas di kantor cabang Bank BCA ramah-ramah dan informatif.",Bank BCA,positif
"Suka banget sama Bank BNI, suka banget karena Bank BNI banyak promo transfer gratis via BI-FAST.",Bank BNI,positif
Suka banget karena bank mandiri banyak promo transfer gratis via bi-fast. Kalau Bank BTN sih standar aja menurutku.,Bank Mandiri,positif
Suka banget karena bank mandiri banyak promo transfer gratis via bi-fast. Kalau Bank BTN sih standar aja menurutku.,Bank BTN,netral
"Kalau transfer ke sesama bank bni gratis, jadi sering kupakai, beda cerita kalau susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh.",Bank BNI,positif
"Kalau transfer ke sesama bank bni gratis, jadi sering kupakai, beda cerita kalau susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh.",Bank Mandiri,negatif
"Menurutku, untuk Bank BTN, cicilan 0% dari Bank BTN ngebantu banget buat beli barang elektronik, di sisi lain telepon CS Bank BTN antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BTN,campuran
"Pengalaman saya dengan customer service bank bni selalu baik dan solutif, sayangnya sering nemu ATM Bank BTN yang uangnya pecahan besar semua, gak ada 50 ribu.",Bank BNI,positif
"Pengalaman saya dengan customer service bank bni selalu baik dan solutif, sayangnya sering nemu ATM Bank BTN yang uangnya pecahan besar semua, gak ada 50 ribu.",Bank BTN,negatif
"Suka banget sama Bank Mandiri, buka rekening Bank Mandiri sekarang bisa full online, gak sampai 10 menit jadi.",Bank Mandiri,positif
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, tapi susah banget mau transfer pakai BNI Mobile Banking, muter-muter terus menunya.",Bank BCA,positif
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, tapi susah banget mau transfer pakai BNI Mobile Banking, muter-muter terus menunya.",Bank BNI,negatif
menggunakan Bank BCA untuk keperluan bisnis dan transaksi harian.,Bank BCA,netral
menggunakan Bank BNI untuk keperluan bisnis dan transaksi harian.,Bank BNI,netral
"Kalau boleh jujur, agak kecewa sama Bank BNI, susah banget mau transfer pakai BNI Mobile Banking, muter-muter terus menunya.",Bank BNI,negatif
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BNI atau Bank BCA ya? Lagi bingung nih.",Bank BNI,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BNI atau Bank BCA ya? Lagi bingung nih.",Bank BCA,netral
"Jujur, untuk Bank BCA, transfer pakai myBCA anti ribet, prosesnya cepat dan simpel, sayangnya keamanan data di Bank BCA perlu ditingkatkan lagi, masih was-was soal phising.",Bank BCA,campuran
"Suka banget sama Bank BTN, login di BTN Mobile sekarang cepat pakai biometrik, praktis!.",Bank BTN,positif
"Menurutku, CS di social media Bank Mandiri balasnya lama dan sering template jawabannya. Beda banget sama Bank BTN yang lebih lancar.",Bank Mandiri,negatif
"Menurutku, CS di social media Bank Mandiri balasnya lama dan sering template jawabannya. Beda banget sama Bank BTN yang lebih lancar.",Bank BTN,positif
saya punya rekening di Bank BNI dan juga di Bank BTN.,Bank BNI,netral
"Pengalaman pribadiku sih, agak kecewa sama Bank Mandiri, biaya transfer ke bank lain dari Bank Mandiri mahal, beda jauh sama yang lain.",Bank Mandiri,negatif
"Kalau transfer ke sesama bank bca gratis, jadi sering kupakai, di sisi lain ATM Bank BNI sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BCA,positif
"Kalau transfer ke sesama bank bca gratis, jadi sering kupakai, di sisi lain ATM Bank BNI sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BNI,negatif
rekening Bank BTN saya gunakan khusus untuk tabungan.,Bank BTN,netral
"Aplikasi mybca-nya sangat intuitif dan mudah digunakan, bahkan buat pemula, namun kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BCA,positif
"Aplikasi mybca-nya sangat intuitif dan mudah digunakan, bahkan buat pemula, namun kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BTN,negatif
"Kalau boleh jujur, sering nemu ATM Bank Mandiri yang uangnya pecahan besar semua, gak ada 50 ribu. Beda banget sama Bank BCA yang lebih lancar.",Bank Mandiri,negatif
"Kalau boleh jujur, sering nemu ATM Bank Mandiri yang uangnya pecahan besar semua, gak ada 50 ribu. Beda banget sama Bank BCA yang lebih lancar.",Bank BCA,positif
sedang mempertimbangkan antara Bank Mandiri dan Bank BTN untuk KPR.,Bank Mandiri,netral
saya punya rekening di Bank BCA dan juga di Bank BNI.,Bank BCA,netral
"Suka banget sama Bank BNI, selain tarik tunai, fitur setor tunai di ATM Bank BNI sangat membantu.",Bank BNI,positif
"Bank btn banyak kerjasama dengan merchant, jadi banyak diskon f&b, beda cerita kalau update Livin by Mandiri bukannya makin bagus malah makin banyak bug.",Bank BTN,positif
"Bank btn banyak kerjasama dengan merchant, jadi banyak diskon f&b, beda cerita kalau update Livin by Mandiri bukannya makin bagus malah makin banyak bug.",Bank Mandiri,negatif
"Pengalaman pribadiku sih, susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh. Beda banget sama Bank Mandiri yang lebih lancar.",Bank BNI,negatif
"Pengalaman pribadiku sih, susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh. Beda banget sama Bank Mandiri yang lebih lancar.",Bank Mandiri,positif
"Sejauh ini, banyak biaya tersembunyi kalau pakai Bank Mandiri, tiba-tiba saldo kepotong. Beda banget sama Bank BCA yang lebih lancar.",Bank Mandiri,negatif
"Sejauh ini, banyak biaya tersembunyi kalau pakai Bank Mandiri, tiba-tiba saldo kepotong. Beda banget sama Bank BCA yang lebih lancar.",Bank BCA,positif
"Suka banget sama Bank BTN, ATM Bank BTN mudah ditemukan di mana-mana, bahkan di kota kecil.",Bank BTN,positif
rekening Bank Mandiri saya gunakan khusus untuk tabungan.,Bank Mandiri,netral
"Bank bni banyak kerjasama dengan merchant, jadi banyak diskon f&b, tapi ATM Bank BCA sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BNI,positif
"Bank bni banyak kerjasama dengan merchant, jadi banyak diskon f&b, tapi ATM Bank BCA sering offline atau rusak, pas butuh malah gak bisa dipakai.",Bank BCA,negatif
"Sering dapat promo menarik dari kartu kredit bank btn, diskonnya lumayan. Kalau Bank BNI sih standar aja menurutku.",Bank BTN,positif
"Sering dapat promo menarik dari kartu kredit bank btn, diskonnya lumayan. Kalau Bank BNI sih standar aja menurutku.",Bank BNI,netral
"Biaya admin bank bca cukup terjangkau, sesuai dengan layanannya, namun sulit sekali bicara dengan CS manusia, selalu diarahkan ke bot.",Bank BCA,positif
"Biaya admin bank bca cukup terjangkau, sesuai dengan layanannya, namun sulit sekali bicara dengan CS manusia, selalu diarahkan ke bot.",Bank BTN,negatif
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, sayangnya BNI Mobile Banking makan banyak memori dan baterai hp.",Bank BCA,positif
"Atm bank bca mudah ditemukan di mana-mana, bahkan di kota kecil, sayangnya BNI Mobile Banking makan banyak memori dan baterai hp.",Bank BNI,negatif
"Suka banget sama Bank BTN, jaringan ATM Bank BTN sangat luas, jadi gampang tarik tunai.",Bank BTN,positif
"Kalau boleh jujur, susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh. Beda banget sama Bank BCA yang lebih lancar.",Bank BNI,negatif
"Kalau boleh jujur, susah banget nyari ATM Bank BNI di daerah saya, harus pergi jauh. Beda banget sama Bank BCA yang lebih lancar.",Bank BCA,positif
"Biaya admin bulanannya worth it dengan semua kemudahan yang didapat, beda cerita kalau antrian di kantor cabang Bank BCA panjangnya bukan main, bisa habis setengah hari.",Bank BNI,positif
"Biaya admin bulanannya worth it dengan semua kemudahan yang didapat, beda cerita kalau antrian di kantor cabang Bank BCA panjangnya bukan main, bisa habis setengah hari.",Bank BCA,negatif
"Jujur, aplikasi BNI Mobile Banking sering banget maintenance, apalagi pas tanggal gajian, bikin emosi. Beda banget sama Bank BCA yang lebih lancar.",Bank BNI,negatif
"Jujur, aplikasi BNI Mobile Banking sering banget maintenance, apalagi pas tanggal gajian, bikin emosi. Beda banget sama Bank BCA yang lebih lancar.",Bank BCA,positif
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BTN atau Bank Mandiri ya? Lagi bingung nih.",Bank BTN,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BTN atau Bank Mandiri ya? Lagi bingung nih.",Bank Mandiri,netral
"Suka banget sama Bank BCA, biaya admin Bank BCA cukup terjangkau, sesuai dengan layanannya.",Bank BCA,positif
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BCA atau Bank BNI ya? Lagi bingung nih.",Bank BCA,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank BCA atau Bank BNI ya? Lagi bingung nih.",Bank BNI,netral
saya punya rekening di Bank BNI dan juga di Bank Mandiri.,Bank BNI,netral
"Suka banget karena bank mandiri banyak promo transfer gratis via bi-fast, sayangnya BTN Mobile lemot banget kalau dipakai pas jam sibuk, loadingnya lama.",Bank Mandiri,positif
"Suka banget karena bank mandiri banyak promo transfer gratis via bi-fast, sayangnya BTN Mobile lemot banget kalau dipakai pas jam sibuk, loadingnya lama.",Bank BTN,negatif
"Sejauh ini, agak kecewa sama Bank BNI, BNI Mobile Banking makan banyak memori dan baterai hp.",Bank BNI,negatif
"Pengalaman pribadiku sih, agak kecewa sama Bank BTN, notifikasi transaksi dari BTN Mobile sering telat masuk, jadi was-was.",Bank BTN,negatif
"Suka banget sama Bank BCA, gak ada setoran awal minimum yang besar untuk buka tabungan di Bank BCA.",Bank BCA,positif
"Menurutku, agak kecewa sama Bank Mandiri, layar sentuh di ATM Bank Mandiri sering tidak responsif.",Bank Mandiri,negatif
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BNI ya? Lagi bingung nih.",Bank Mandiri,netral
"Teman-teman, minta pendapat dong, untuk nabung lebih baik Bank Mandiri atau Bank BNI ya? Lagi bingung nih.",Bank BNI,netral
"Pengalaman pribadiku sih, susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh. Beda banget sama Bank BNI yang lebih lancar.",Bank Mandiri,negatif
"Pengalaman pribadiku sih, susah banget nyari ATM Bank Mandiri di daerah saya, harus pergi jauh. Beda banget sama Bank BNI yang lebih lancar.",Bank BNI,positif
Petugas di kantor cabang bank mandiri ramah-ramah dan informatif. Kalau Bank BTN sih standar aja menurutku.,Bank Mandiri,positif
Petugas di kantor cabang bank mandiri ramah-ramah dan informatif. Kalau Bank BTN sih standar aja menurutku.,Bank BTN,netral
"Kalau boleh jujur, biaya transfer ke bank lain dari Bank Mandiri mahal, beda jauh sama yang lain. Beda banget sama Bank BNI yang lebih lancar.",Bank Mandiri,negatif
"Kalau boleh jujur, biaya transfer ke bank lain dari Bank Mandiri mahal, beda jauh sama yang lain. Beda banget sama Bank BNI yang lebih lancar.",Bank BNI,positif
"Biaya admin bank bca cukup terjangkau, sesuai dengan layanannya, namun telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BCA,positif
"Biaya admin bank bca cukup terjangkau, sesuai dengan layanannya, namun telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BNI,negatif
"Cs bank mandiri sangat responsif dan membantu, masalah langsung kelar, di sisi lain layar sentuh di ATM Bank BTN sering tidak responsif.",Bank Mandiri,positif
"Cs bank mandiri sangat responsif dan membantu, masalah langsung kelar, di sisi lain layar sentuh di ATM Bank BTN sering tidak responsif.",Bank BTN,negatif
rekening Bank BNI saya gunakan khusus untuk tabungan.,Bank BNI,netral
menggunakan Bank BCA untuk keperluan bisnis dan transaksi harian.,Bank BCA,netral
"Menurutku, untuk Bank BNI, ATM Bank BNI mudah ditemukan di mana-mana, bahkan di kota kecil, di sisi lain telepon CS Bank BNI antrinya lama banget, habis pulsa banyak cuma buat nunggu.",Bank BNI,campuran
rekening Bank BNI saya gunakan khusus untuk tabungan.,Bank BNI,netral
"Kalau boleh jujur, agak kecewa sama Bank BTN, kena biaya notifikasi SMS padahal sudah ada notif dari aplikasi.",Bank BTN,negatif
